"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"57457","1.0","104","[""BIO""]","21","""8/8""","","","[""Mara E. Robu""]","""4/8""","100","[""SC 274"", ""SC 274""]","32","""The Biology of Women""","124","false","","2","""4/8""","""5/8""","""O""","20072","[""MTThF 1040-1200PM"", ""MTThF 0100-0300PM""]","","""Research""","2007"
"57459","1.0","803","[""MUSIC""]","19","""4/999""","","","[""Linda Berger""]","""10/999""","100","[""CHM 222"", ""CHM 224""]","20","""The Music Spectrum""","130","false","","2","""1/999""","""4/999""","""C""","20072","[""M-F 1040-1130"", ""M-F 1140-1240PM""]","","""Research""","2007"
"57460","1.0","17196","[""PSCI""]","19","""11/999""","","","[""Anthony Lott""]","""0/999""","100","[""RML 420""]","18","""The Problem of War""","119","false","","2","""6/999""","""2/999""","""C""","20072","[""M-F 0100-0300PM""]","","""Research""","2007"
"57461","1.0","705","[""ID""]","28","""0/999""","","","[""Karen Wilson""]","""11/999""","200","","28","""Theater in London""","258","false","","2","""11/999""","""6/999""","""C""","20072","","","""Research""","2007"
"57462","1.0","17589","[""RUSSN""]","15","""0/999""","","","[""Marc Robinson""]","""0/999""","200","","18","""Theater in Russia""","256","false","","2","""1/999""","""14/999""","""C""","20072","","""Theater in Russia: Interim Abroad""","""Research""","2007"
"57466","1.0","114","[""BIO""]","24","""6/6""","","114","[""John Giannini""]","""7/6""","100","[""SC 227""]","24","""Thinking & Doing Bio""","135","false","","2","""4/6""","""7/6""","""C""","20072","[""M-F 0900-1000""]","""Thinking and Doing Biology""","""Research""","2007"
"57467","0.0","115","[""BIO""]","24","""6/6""","","114","[""John Giannini""]","""7/6""","100","[""SC 227"", ""SC 227""]","24","""Thinking & Doing Bio Lab""","135","false","","2","""4/6""","""7/6""","""C""","20072","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","","""Lab""","2007"
"57472","1.0","382","[""ENGL""]","31","""16/999""","","","[""Joseph L. Mbele""]","""1/999""","100","[""RML 421""]","30","""Trickstr/Post-Col Lit""","108","false","","2","""14/999""","""0/999""","""C""","20072","[""M-F 0100-0300PM""]","""The Hero and the Trickster in Post-Colonial Literature""","""Research""","2007"
"57479","1.0","339","[""EDUC""]","20","""0/0""","","","[""Rosemary A. Pfarr-Baker""]","""14/999""","300","","32","""Urban Sem & Practicum""","379","true","","2","""3/999""","""3/999""","""C""","20072","","""Urban Education Practicum and Seminar""","""Research""","2007"
"57480","1.0","18435","[""NORW""]","36","""10/999""","","","[""Solveig Zempel""]","""6/999""","200","[""OM 001""]","35","""Vikings in Literature""","240","false","","2","""14/999""","""6/999""","""C""","20072","[""M-F 0100-0300PM""]","""Vikings in Literature: Medieval to Modern""","""Research""","2007"
"57490","1.0","606","[""HIST""]","31","""3/0""","","","[""Jeane DeLaney""]","""6/999""","200","[""HH 317""]","35","""20th Century Cuba""","243","false","","2","""4/999""","""18/999""","""C""","20072","[""M-F 0100-0300PM""]","""20th-Century Cuba""","""Research""","2007"
"58814","1.0","37","[""ART""]","17","""3/999""","","","[""Steven Edwins""]","""5/999""","200","[""DC 116"", ""DC 116""]","15","""Arch Drawing/Design I""","225","false","","2","""3/999""","""6/999""","""C""","20072","[""M-F 1040-1240PM"", ""M-F 0900-1000""]","""Architectural Drawing and Design I""","""Research""","2007"
"58815","1.0","54","[""ART""]","21","""0/999""","","","[""A. Malcolm Gimse""]","""5/999""","200","","20","""Ital Art in Context""","255","false","","2","""8/999""","""8/999""","""C""","20072","","""Italian Art in Context""","""Research""","2007"
"58817","1.0","79","[""ASIAN""]","42","""25/999""","","","[""Phyllis Hyland Larson""]","""2/999""","100","[""RML 525"", ""RML 525""]","48","""Intro Japanese Film""","124","false","","2","""5/999""","""10/999""","""C""","20072","[""M-Th 1040-1240PM"", ""M-Th 0130-0330PM""]","""Introduction to Japanese Film""","""Research""","2007"
"58820","1.0","203","[""CHEM""]","16","""0/999""","","","[""Gregory W. Muth"", ""Robert Hanson""]","""11/999""","200","","16","""Med Chem in Jamaica""","260","false","","2","""5/999""","""0/999""","""C""","20072","","""Medicinal Chemistry in Jamaica: An International Perspective""","""Research""","2007"
"58824","1.0","367","[""DANCE""]","22","""10/999""","","","[""Anne von Bibra""]","""3/999""","100","[""DC Studio 1"", ""DC 204""]","14","""World Dance Tradition""","124","false","","2","""4/999""","""5/999""","""C""","20072","[""MTThF 0100-0300PM"", ""MTThF 1040-1200PM""]","""World Dance Traditions""","""Research""","2007"
"58830","1.0","261","[""ECON""]","26","""0/999""","","","[""Xun Pomponio""]","""7/999""","200","","20","""Econ Progress China""","218","false","","2","""13/999""","""6/999""","""C""","20072","","""Economic Progress in China""","""Research""","2007"
"58864","1.0","414","[""ENGL""]","24","""0/999""","","","[""Mary Titus""]","""7/999""","200","","30","""Modern Irish Lit""","252","false","","2","""17/999""","""0/999""","""C""","20072","","""Modern Irish Literature""","""Research""","2007"
"58865","1.0","432","[""ENGL""]","18","""0/999""","","","[""Mark Allister""]","""2/999""","200","[""RML 515""]","30","""Authors in English""","290","false","","2","""6/999""","""10/999""","""O""","20072","[""M-F 0800-1000""]","","""Research""","2007"
"58866","1.0","510","[""GERM""]","21","""0/999""","","","[""Karl Fink""]","""8/999""","200","","18","""Lang/Culture Studies""","233","false","","2","""0/999""","""13/999""","""C""","20072","","""Language and Culture Studies in Germany""","""Research""","2007"
"58868","1.0","601","[""HIST""]","31","""0/0""","","","[""J. L. Carrington""]","""4/999""","200","[""HH 307""]","35","""Wmn/Early Mod Europe""","238","false","","2","""5/999""","""22/999""","""C""","20072","[""M-F 0100-0300PM""]","""Women in Early Modern Europe""","""Research""","2007"
"58870","1.0","967","[""PHIL""]","17","""11/999""","","","[""Karen Gervais""]","""0/0""","100","[""HH 302""]","30","""Death/Meaning of Life""","147","false","","2","""1/0""","""5/999""","""O""","20072","[""M-F 0800-1000""]","""Death and the Meaning of Life""","""Research""","2007"
