"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"47469","1.0","1236","[""REL""]","1","""0/0""","","[""Jamie A. Schillinger""]","""0/0""","200","","0","""Academic Internship""","294","true","""D""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47470","1.0","236","[""CLASS""]","1","""0/0""","","[""James May""]","""0/0""","300","","0","""IR/Jerome's Vulgate""","398","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47471","1.0","1139","[""PSCI""]","2","""0/0""","","[""Sheryl D. Breen""]","""0/0""","200","","0","""Academic Internship""","294","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47472","1.0","691","[""IS""]","1","""0/0""","","[""Karen Wilson""]","""0/0""","300","","0","""Academic Internship""","394","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47476","1.0","784","[""MGMT""]","1","""0/0""","","[""Mary Ann Emery""]","""0/0""","200","","0","""Academic Internship""","294","true","""C""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47477","1.0","1139","[""PSCI""]","1","""0/0""","","[""D Christopher Brooks""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47478","1.0","276","[""ECON""]","1","""0/0""","","[""Sian E. Muir""]","""0/0""","200","","0","""Academic Internship""","294","true","""C""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47493","1.0","153","[""BIO""]","1","""0/0""","","[""Jason D. Hill""]","""0/0""","200","","0","""Academic Internship""","294","true","""C""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47494","1.0","175","[""BIO""]","1","""0/0""","","[""Theodore Johnson""]","""0/0""","300","","0","""IR/Health Care in Peru""","398","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47497","1.0","1236","[""REL""]","1","""0/0""","","[""Margaret Odell""]","""0/0""","200","","0","""Academic Internship""","294","true","""E""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47498","1.0","464","[""ENVST""]","1","""0/0""","","[""Eugene Bakko""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47501","1.0","375","[""DNCTH""]","","","","[""Sheryl Saterstrom""]","","200","","","""IS/Somatic Studies""","298","false","","5","","","""C""","20045","","""Research""","2004"
"47503","0.5","153","[""BIO""]","1","""0/0""","","[""Eugene Bakko""]","""0/0""","200","","0","""Academic Internship""","294","true","""D""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47583","1.0","291","[""CSCI""]","0","""0/0""","","[""Richard Brown""]","""0/0""","200","","0","""Hardware Design""","241","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47646","1.0","434","[""ENGL""]","1","""0/0""","","[""Mary V. Winstead""]","""0/0""","200","","0","""IS/20th Cent Lit Am South""","298","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47661","1.0","464","[""ENVST""]","1","""0/0""","","[""James Farrell""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47754","1.0","256","[""ECON""]","10","""0/0""","","[""Steve Soderlind""]","""0/0""","100","","0","""Capitalism: Struggles""","113","false","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47770","0.5","68","[""ART""]","1","""0/0""","","[""Mary Griep""]","""0/0""","200","","0","""Academic Internship""","294","true","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47827","1.0","1058","[""PETH""]","1","""0/0""","","[""Daniel Hagen""]","""0/0""","200","","0","""IS/Physical Therapy""","298","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47828","1.0","1316","[""SOAN""]","1","""0/0""","","[""Michael Leming""]","""0/0""","200","","0","""IS/SE Asian Funerals""","298","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47829","1.0","708","[""ID""]","1","""0/0""","","[""Gordon D. Marino""]","""0/0""","200","","0","""IS/Phil of Science""","298","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47875","1.0","788","[""MGMT""]","1","""0/0""","","[""Richard Goedde""]","""0/0""","300","","0","""Academic Internship""","394","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"48473","1.0","100","[""BIO""]","38","""0/0""","100","[""Kathleen L. Shea""]","""0/0""","100","","38","""Biological Science""","121","false","","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"48474","0.0","101","[""BIO""]","38","""0/0""","100","[""Kathleen L. Shea""]","""0/0""","100","","38","""Biological Science Lab""","121","false","","5","""0/0""","""0/0""","""C""","20045","","""Lab""","2004"

