"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2664","1.0","367","[""DNCTH""]","","","","[""Anne von Bibra""]","","100","[""SPT 216"", ""DANCE ST 1""]","","""World Dance Tradit'ns""","124","false","","2","","","""C""","20012","[""MTThF 1040-1210PM"", ""MTThF 0115-0300PM""]","""Research""","2001"
"2665","1.0","382","[""ENGL""]","28","""25/999""","","[""Joseph L. Mbele""]","""0/999""","100","[""L 525""]","25","""Trickstr/Post-Col Lit""","108","false","","2","""0/999""","""0/999""","""C""","20012","[""M-F 0100-0300PM""]","""Research""","2001"
"2666","1.0","387","[""ENGL""]","25","""25/999""","","[""Mary Steen""]","""0/999""","100","[""L 525""]","25","""Reading for Life""","132","false","","2","""0/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2667","1.0","389","[""ENGL""]","14","""6/999""","","[""Mary Titus""]","""0/999""","100","[""L 515""]","25","""Lit/Social Change""","155","false","","2","""-1/999""","""0/999""","""C""","20012","[""M-F 0100-0300PM""]","""Research""","2001"
"2668","1.0","392","[""ENGL""]","23","""25/999""","","[""Karen Cherewatuk""]","""0/999""","100","[""L 515""]","25","""Literary Studies""","185","false","","2","""0/999""","""1/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2669","1.0","394","[""ENGL""]","15","""0/999""","","[""Mark Allister""]","""0/999""","200","[""L 520""]","999","""Lit Envir Wolf Ridge""","201","false","","2","""1/999""","""0/999""","""C""","20012","[""M-F 0800-1000""]","""Research""","2001"
"2670","1.0","403","[""ENGL""]","33","""4/999""","","[""Diana Postlethwaite""]","""11/999""","200","[""L 421""]","30","""19-C.Myths/20-C.Film""","226","false","","2","""19/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2671","1.0","414","[""ENGL""]","23","""0/999""","","[""John T. Day""]","""0/999""","200","","999","""IRish Short Stories""","252","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2672","1.0","419","[""ENGL""]","30","""0/999""","","[""Richard Buckstead""]","""0/999""","200","","999","""Hemingway in Cuba""","259","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2673","1.0","430","[""ENGL""]","16","""0/999""","","[""Joan Hepburn""]","""0/999""","200","","999","""Performing Arts in NY""","284","false","","2","""0/999""","""1/999""","""C""","20012","","""Research""","2001"
"2674","1.0","433","[""ENGL""]","1","""0/999""","","[""Jan C. Hill""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2675","1.0","434","[""ENGL""]","1","""0/999""","","[""Diana Postlethwaite""]","""0/999""","200","","999","""IS/Disillusion in A & E""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2676","1.0","436","[""ENGL""]","15","""0/999""","","[""Carol Holly""]","""4/999""","300","[""L 520""]","15","""Advanced Amer Lit""","340","false","","2","""7/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Topic""","2001"
"2677","1.0","451","[""ENGL""]","1","""0/999""","","[""Jonathan Hill""]","""0/999""","300","","999","""IR/British Romantics""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2678","1.0","479","[""FREN""]","16","""12/999""","","[""Scott Homler""]","""0/999""","200","[""M 2""]","30","""Intermed French I""","231","false","","2","""2/999""","""2/999""","""O""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2679","1.0","481","[""FREN""]","13","""0/999""","","[""Herve Pensec""]","""0/999""","200","","999","""Lang/Cul Fr Caribbean""","233","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2680","1.0","482","[""FREN""]","18","""6/999""","","[""Jolene Barjasteh""]","""3/999""","200","[""M 26""]","25","""Speaking of French""","250","false","","2","""3/999""","""5/999""","""O""","20012","[""M-F 1040-0300PM""]","""Research""","2001"
"2681","1.0","489","[""FREN""]","12","""0/999""","","[""M. Clare Mather""]","""0/999""","200","","999","""ID French Stud Paris""","275","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
