"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"90786","1.0","690","[""IS""]","1","""0/999""","","","","","[""Mary Griep""]","""0/999""","300","","999","""Senior Project II""","392","false","""L""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90787","0.25","1102","[""PHYS""]","15","""0/999""","","","","","[""Brian Borovsky""]","""0/999""","300","[""RNS 297""]","18","""Senior Seminar""","399","true","","3","""15/999""","""0/999""","""C""","20133","[""F 0200-0300PM""]","","""Seminar""","2013"
"90788","1.0","1321","[""SOAN""]","20","""0/0""","[""EIN""]","","","","[""Carolyn Anderson""]","""0/0""","300","[""HH 515""]","18","""Senior Seminar""","399","false","""B""","3","""20/999""","""0/0""","""C""","20133","[""MWF 1150-1245PM""]","","""Research""","2013"
"90789","1.0","1321","[""SOAN""]","18","""0/0""","[""EIN""]","","","","[""Carolyn Anderson""]","""0/0""","300","[""HH 319""]","18","""Senior Seminar""","399","false","""A""","3","""18/999""","""0/0""","""C""","20133","[""MWF 1045-1140""]","","""Research""","2013"
"90790","0.5","340","[""EDUC""]","9","""0/0""","","","","","[""Sharon Lane-Getaz""]","""0/0""","300","[""TBA""]","30","""Senior Seminar Educ""","381","false","","3","""9/999""","""0/0""","""O""","20133","[""M-F 0800-0400PM""]","""Senior Seminar""","""Research""","2013"
"90793","1.0","1359","[""SWRK""]","22","""0/0""","[""WRI""]","","","","[""Mary Carlsen""]","""6/7""","200","[""TOH 212""]","18","""Soc Work/Soc Welfare""","221","false","","3","""7/4""","""9/7""","""C""","20133","[""MWF 0200-0255PM""]","""Social Work and Social Welfare""","""Research""","2013"
"90794","1.0","1371","[""SWRK""]","14","""0/0""","","","","","[""Mary Carlsen""]","""0/0""","300","[""TOH 300"", ""TOH 300""]","15","""Soc Worker Professional""","381","false","","3","""14/15""","""0/0""","""O""","20133","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Social Worker as Professional""","""Research""","2013"
"90795","1.0","1363","[""SWRK""]","23","""0/0""","","","","","[""Mary Carlsen""]","""13/14""","200","[""TOH 214""]","22","""Social Policy""","258","false","","3","""8/6""","""2/2""","""C""","20133","[""MWF 1150-1245PM""]","","""Research""","2013"
"90796","1.0","1170","[""PSYCH""]","33","""10/999""","[""HBS""]","","","","[""M. Minda Ori\u00f1a""]","""6/999""","200","[""RNS 150""]","30","""Social Psychology""","249","false","""A""","3","""11/999""","""6/999""","""C""","20133","[""MWF 0800-0855""]","","""Research""","2013"
"90797","1.0","1170","[""PSYCH""]","30","""4/999""","[""HBS""]","","","","[""M. Minda Ori\u00f1a""]","""8/999""","200","[""RNS 150""]","30","""Social Psychology""","249","false","""B""","3","""3/999""","""15/999""","""C""","20133","[""MWF 0905-1000""]","","""Research""","2013"
"90798","1.0","322","[""EDUC""]","13","""0/0""","[""WRI""]","","","","[""Robert W. McClure""]","""6/999""","300","[""TOH 214""]","18","""Social Studies Persp""","334","false","","3","""5/999""","""2/0""","""O""","20133","[""MWF 0200-0255PM""]","""Social Studies Perspectives""","""Research""","2013"
"90799","1.0","1313","[""SOAN""]","17","""0/0""","[""HWC""]","","","","[""Ibtesam Al Atiyat""]","""2/999""","200","[""HH 302""]","18","""Sociological Theory""","291","false","""A""","3","""0/999""","""15/999""","""O""","20133","[""MWF 0800-0855""]","""History of Sociological Theory""","""Research""","2013"
"90800","1.0","1313","[""SOAN""]","19","""1/0""","[""HWC""]","","","","[""Ibtesam Al Atiyat""]","""1/999""","200","[""HH 302""]","18","""Sociological Theory""","291","false","""B""","3","""1/999""","""16/999""","""C""","20133","[""MWF 0905-1000""]","""History of Sociological Theory""","""Research""","2013"
"90801","1.0","292","[""CSCI""]","25","""11/999""","","292","","","[""Olaf A. Hall-Holt""]","""2/8""","200","[""RNS 203""]","25","""Software Design""","251","false","","3","""4/8""","""8/999""","""C""","20133","[""MWF 0905-1000""]","""Software Design and Implementation""","""Research""","2013"
"90802","0.25","293","[""CSCI""]","16","""4/999""","","292","","","[""Olaf A. Hall-Holt""]","""2/999""","200","[""RNS 202""]","20","""Software Design/Lab""","252","false","""A""","3","""4/999""","""6/999""","""O""","20133","[""W 0300-0500PM""]","""Software Design and Implementation Lab""","""Lab""","2013"
