"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21963","1.0","276","[""ECON""]","3","""0/999""","[""Mary Ann Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21964","1.0","276","[""ECON""]","1","""0/999""","[""Richard Goedde""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21965","1.0","276","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21966","1.0","277","[""ECON""]","1","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","","999","""IS/Health Ed Strateg""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21967","1.0","277","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","200","","999","""IS/Futures Speculatio""","298","false","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21968","1.0","284","[""ECON""]","1","""2/999""","[""Mary Ann Emery""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21969","1.0","284","[""ECON""]","2","""0/999""","[""Richard Goedde""]","""0/999""","300","","999","""Academic Internship""","394","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21970","1.0","284","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","300","","999","""Academic Internship""","394","true","""B""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21971","1.0","285","[""ECON""]","2","""0/999""","[""Paul Wojick""]","""0/999""","300","","999","""IR/Futures Speculatio""","398","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21972","1.0","299","[""CSCI""]","1","""0/999""","[""Richard Brown""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21973","1.0","1618","[""CSCI""]","9","""4/999""","[""Richard Brown""]","""2/999""","300","[""SC 182"", ""SC 182""]","15","""Sem: Oper Systems""","378","false","","2","""4/999""","""0/999""","""O""","19972","[""M-F 0830-1000"", ""M-F 0100-0300PM""]","""Seminar""","1997"
"21974","1.0","310","[""EDUC""]","20","""3/999""","[""Jim Holden""]","""14/999""","200","","25","""Perspectives On Tchg""","260","true","","2","""6/999""","""0/0""","""C""","19972","","""Research""","1997"
"21975","1.0","310","[""EDUC""]","1","""0/999""","[""Jim Holden""]","""0/999""","200","","999","""Perspectives On Tchg""","260","false","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21976","1.0","338","[""EDUC""]","28","""28/999""","[""Mark Schelske""]","""0/999""","300","","30","""Edu Cross-Cult Hawaii""","378","true","","2","""1/999""","""0/0""","""C""","19972","","""Research""","1997"
"21977","1.0","314","[""EDUC""]","2","""0/999""","[""Jim Holden""]","""0/999""","200","","999","""IS/Teaching Esl""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21978","1.0","339","[""EDUC""]","16","""4/999""","[""Larry Zimmerman""]","""1/0""","300","","20","""Urban Alternative Ed""","379","true","","2","""7/999""","""0/0""","""C""","19972","","""Research""","1997"
"21979","1.0","367","[""DNCTH""]","","","[""Anne von Bibra""]","","100","[""FH 01"", ""CTR ST""]","","""World Dance Tradit'ns""","124","false","","2","","","""C""","19972","[""MTThF 1040-1200PM"", ""MTThF 0100-0300PM""]","""Research""","1997"
"21980","1.0","375","[""DNCTH""]","","","[""Janice Roberts""]","","200","","","""IS/Current Choreograp""","298","false","","2","","","""O""","19972","","""Research""","1997"
"21981","1.0","377","[""DNCTH""]","","","[""Anne von Bibra""]","","300","","","""Academic Internship""","394","true","","2","","","""O""","19972","","""Research""","1997"
