"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5680","1.0","89","[""ASIAN""]","19","""4/999""","","[""Rika Ito""]","""4/999""","200","[""OM 011"", ""OM 011""]","25","""Talking in Japan/Us""","240","false","","1","""3/999""","""3/999""","""O""","20031","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2003"
"5681","1.0","94","[""ASIAN""]","2","""0/999""","","[""Phyllis Hyland Larson""]","""0/999""","200","","999","""IS/Reading Japanese""","298","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5682","1.0","94","[""ASIAN""]","1","""0/999""","","[""Pin Pin Wan""]","""0/999""","200","","999","""IS/Advanced Chinese""","298","false","""A""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5683","1.0","97","[""ASIAN""]","1","""0/999""","","[""Barbara Reed""]","""0/999""","300","","999","""IR/Family ISSues Asia""","398","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5684","1.0","98","[""ASIAN""]","23","""1/999""","","[""Barbara Reed""]","""2/999""","300","[""HH 301"", ""HH 301""]","20","""Asia Seminar""","399","false","","1","""22/999""","""0/999""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050""]","""Seminar""","2003"
"5685","1.0","102","[""BIO""]","25","""0/999""","","[""Young Yoo""]","""11/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""A""","1","""7/999""","""0/999""","""C""","20031","[""MWF 0905-1000"", ""W 0200-0400PM""]","""Research""","2003"
"5686","1.0","102","[""BIO""]","19","""0/999""","","[""Young Yoo""]","""16/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""B""","1","""2/999""","""0/999""","""C""","20031","[""MWF 0905-1000"", ""Th 0800-1000""]","""Research""","2003"
"5687","1.0","102","[""BIO""]","22","""0/999""","","[""Young Yoo""]","""9/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""C""","1","""9/999""","""0/999""","""C""","20031","[""MWF 0905-1000"", ""Th 0100-0300PM""]","""Research""","2003"
"5688","1.0","106","[""BIO""]","32","""8/999""","","[""Eric Cole""]","""3/999""","100","[""SC 278"", ""SC 273""]","28","""Cellular Bio & Genetics""","125","false","""A""","1","""0/999""","""12/999""","""C""","20031","[""MWF 0800-0855"", ""Th 0215-0445PM""]","""Research""","2003"
"5689","1.0","106","[""BIO""]","24","""13/999""","","[""Eric Cole""]","""1/999""","100","[""SC 278"", ""SC 273""]","28","""Cellular Bio & Genetics""","125","false","""B""","1","""0/999""","""15/999""","""O""","20031","[""MWF 0800-0855"", ""Th 0800-1030""]","""Research""","2003"
"5690","1.0","106","[""BIO""]","13","""3/999""","","[""Eric Cole""]","""0/999""","100","[""SC 278"", ""SC 273""]","18","""Cellular Bio & Genetics""","125","false","""C""","1","""0/999""","""15/999""","""C""","20031","[""MWF 0800-0855"", ""F 1045-0115PM""]","""Research""","2003"
"5691","1.0","106","[""BIO""]","28","""11/999""","","[""John Giannini""]","""4/999""","100","[""SC 278"", ""SC 273""]","30","""Cellular Bio & Genetics""","125","false","""D""","1","""2/999""","""11/999""","""O""","20031","[""MWF 0905-1000"", ""M 1200-0230PM""]","""Research""","2003"
"5692","1.0","106","[""BIO""]","29","""14/999""","","[""John Giannini""]","""4/999""","100","[""SC 278"", ""SC 273""]","32","""Cellular Bio & Genetics""","125","false","""E""","1","""0/999""","""14/999""","""O""","20031","[""MWF 0905-1000"", ""M 0300-0530PM""]","""Research""","2003"
"5693","1.0","106","[""BIO""]","21","""7/999""","","[""Muir Eaton""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cellular Bio & Genetics""","125","false","""F""","1","""0/999""","""17/999""","""O""","20031","[""MWF 1045-1140"", ""T 0800-1030""]","""Research""","2003"
"5694","1.0","106","[""BIO""]","27","""8/999""","","[""Muir Eaton""]","""0/999""","100","[""SC 278"", ""SC 273""]","23","""Cellular Bio & Genetics""","125","false","""G""","1","""1/999""","""17/999""","""C""","20031","[""MWF 1045-1140"", ""T 1145-0215PM""]","""Research""","2003"
"5695","1.0","106","[""BIO""]","25","""7/999""","","[""Muir Eaton""]","""1/999""","100","[""SC 278"", ""SC 273""]","24","""Cellular Bio & Genetics""","125","false","""H""","1","""0/999""","""16/999""","""C""","20031","[""MWF 1045-1140"", ""W 0300-0530PM""]","""Research""","2003"
"5696","1.0","106","[""BIO""]","23","""12/999""","","[""Robert Rutherford""]","""1/999""","100","[""SC 278"", ""SC 278"", ""SC 273""]","24","""Cellular Bio & Genetics""","125","false","""I""","1","""0/999""","""16/999""","""O""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""T 0300-0530PM""]","""Research""","2003"
"5697","1.0","106","[""BIO""]","22","""5/999""","","[""Robert Rutherford""]","""1/999""","100","[""SC 278"", ""SC 278"", ""SC 273""]","24","""Cellular Bio & Genetics""","125","false","""J""","1","""0/999""","""16/999""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""W 1150-0220PM""]","""Research""","2003"
"5698","1.0","122","[""BIO""]","24","""0/999""","","[""Jean C. Porterfield""]","""20/999""","200","[""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""A""","1","""2/999""","""0/999""","""C""","20031","[""MWF 1045-1140"", ""T 0800-1100""]","""Research""","2003"
"5699","1.0","122","[""BIO""]","26","""0/999""","","[""Jean C. Porterfield""]","""18/999""","200","[""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""B""","1","""4/999""","""0/999""","""C""","20031","[""MWF 1045-1140"", ""T 0120-0420PM""]","""Research""","2003"
"5700","1.0","122","[""BIO""]","15","""2/999""","","[""Stephen Cronin""]","""4/999""","200","[""SC 280"", ""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""C""","1","""1/999""","""12/999""","""O""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""W 0200-0500PM""]","""Research""","2003"
"5701","1.0","122","[""BIO""]","17","""0/999""","","[""Stephen Cronin""]","""3/999""","200","[""SC 280"", ""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""D""","1","""1/999""","""16/999""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""Th 0215-0515PM""]","""Research""","2003"
"5702","1.0","126","[""BIO""]","22","""0/999""","","[""William Jurney""]","""6/999""","200","[""SC 280"", ""SC 253""]","22","""Human Anatomy & Physiol""","243","false","""A""","1","""9/999""","""0/999""","""C""","20031","[""MWF 0800-0855"", ""M 1255-0355PM""]","""Research""","2003"
"5703","1.0","126","[""BIO""]","18","""0/999""","","[""William Jurney""]","""7/999""","200","[""SC 280"", ""SC 253""]","22","""Human Anatomy & Physiol""","243","false","""B""","1","""7/999""","""0/999""","""C""","20031","[""MWF 0800-0855"", ""T 0800-1100""]","""Research""","2003"
"5704","1.0","126","[""BIO""]","18","""0/999""","","[""William Jurney""]","""10/999""","200","[""SC 280"", ""SC 253""]","22","""Human Anatomy & Physiol""","243","false","""C""","1","""6/999""","""0/999""","""C""","20031","[""MWF 0800-0855"", ""T 0120-0420PM""]","""Research""","2003"
"5705","1.0","128","[""BIO""]","11","""0/999""","","[""Mary C. Henry""]","""4/999""","200","[""SC 278"", ""SC 278"", ""SC 269""]","12","""Animal Physiology""","247","false","""A""","1","""7/999""","""1/999""","""C""","20031","[""T 0800-0925"", ""Th 0800-0920"", ""T 0120-0420PM""]","""Research""","2003"
"5706","1.0","128","[""BIO""]","9","""0/999""","","[""Mary C. Henry""]","""3/999""","200","[""SC 278"", ""SC 278"", ""SC 269""]","12","""Animal Physiology""","247","false","""B""","1","""8/999""","""1/999""","""C""","20031","[""T 0800-0925"", ""Th 0800-0920"", ""W 1255-0355PM""]","""Research""","2003"
"5707","1.0","128","[""BIO""]","10","""0/999""","","[""Mary C. Henry""]","""0/999""","200","[""SC 278"", ""SC 278"", ""SC 269""]","12","""Animal Physiology""","247","false","""C""","1","""6/999""","""3/999""","""C""","20031","[""T 0800-0925"", ""Th 0800-0920"", ""Th 0120-0420PM""]","""Research""","2003"
"5708","1.0","130","[""BIO""]","4","""0/999""","","[""Michael Swift""]","""0/999""","200","[""SC 274"", ""SC 274"", ""SC 229""]","16","""Invertebrate Zoology""","248","false","""A""","1","""0/999""","""2/999""","""O""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""W 1255-0355PM""]","""Research""","2003"
"5709","1.0","130","[""BIO""]","9","""0/999""","","[""Michael Swift""]","""5/999""","200","[""SC 274"", ""SC 274"", ""SC 229""]","16","""Invertebrate Zoology""","248","false","""B""","1","""2/999""","""2/999""","""O""","20031","[""T 0935-1100"", ""Th 0930-1050"", ""Th 0215-0515PM""]","""Research""","2003"
"5710","1.0","136","[""BIO""]","7","""0/999""","","[""Jason D. Hill""]","""2/999""","200","[""SC 274"", ""SC 274"", ""SC 227""]","20","""Plant Morphology""","252","false","","1","""2/999""","""1/999""","""O""","20031","[""T 0800-0925"", ""Th 0800-0920"", ""T 0120-0420PM""]","""Research""","2003"
"5711","1.0","139","[""BIO""]","17","""0/999""","","[""Diane K. Angell""]","""3/999""","200","[""HH 501"", ""SC 248""]","18","""Ecological Principles""","261","false","""A""","1","""15/999""","""0/999""","""C""","20031","[""MWF 0800-0855"", ""M 1255-0355PM""]","""Research""","2003"
"5712","1.0","139","[""BIO""]","14","""0/999""","","[""Diane K. Angell""]","""7/999""","200","[""HH 501"", ""SC 248""]","16","""Ecological Principles""","261","false","""B""","1","""3/999""","""6/999""","""C""","20031","[""MWF 0800-0855"", ""W 1255-0355PM""]","""Research""","2003"
"5713","1.0","139","[""BIO""]","17","""0/999""","","[""Diane K. Angell""]","""4/999""","200","[""HH 501"", ""SC 248""]","18","""Ecological Principles""","261","false","""C""","1","""3/999""","""8/999""","""O""","20031","[""MWF 0800-0855"", ""Th 0800-1100""]","""Research""","2003"
