"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"17721","1.0","496","[""FREN""]","1","""0/999""","[""Jolene Barjasteh""]","""0/999""","300","999","""IR/Teach. Stereotypes""","398","false","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17723","1.0","512","[""GERM""]","20","""1/999""","[""Karl Fink""]","""7/999""","200","30","""Age of Goethe-Tr""","246","false","","2","""3/999""","""0/999""","""O""","19952","""Research""","1995"
"17724","1.0","530","[""GERM""]","1","""0/999""","[""Lavern Rippley""]","""0/999""","300","999","""IR/Novell & Morality""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17725","1.0","532","[""GCON""]","23","""22/999""","[""J. L. Carrington""]","""0/999""","100","22","""Romans & Christians""","115","false","""A""","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17726","1.0","532","[""GCON""]","21","""23/999""","[""Edmund Santurri""]","""0/999""","100","22","""Romans & Christians""","115","false","""B""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17727","1.0","532","[""GCON""]","21","""18/999""","[""Corliss Swain""]","""0/999""","100","22","""Romans & Christians""","115","false","""C""","2","""2/999""","""0/999""","""C""","19952","""Research""","1995"
"17728","1.0","551","[""GREEK""]","1","""1/999""","[""Anne Groton""]","""0/999""","300","999","""IR/Greek Com Menander""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17732","1.0","1834","[""HIST""]","14","""0/999""","[""Christopher D. Grasso""]","""15/999""","200","40","""Top: Rel & Amer Hist""","248","false","","2","""4/999""","""0/999""","""O""","19952","""Topic""","1995"
"17733","1.0","1844","[""HIST""]","37","""0/999""","[""Stephen Blake""]","""34/999""","200","35","""British India""","255","false","","2","""5/999""","""0/999""","""C""","19952","""Research""","1995"
"17734","1.0","606","[""HIST""]","21","""3/999""","[""Jeane DeLaney""]","""16/999""","200","35","""Revolutionary Cuba""","258","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
