"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"10163","1.0","697","[""ID""]","6","""0/999""","","[""Edmund Santurri""]","""0/999""","200","[""RML 420""]","999","""War and Peace""","238","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10164","1.0","731","[""MATH""]","0","""0/999""","","[""Peder Bolstad""]","""0/999""","100","[""OM 001""]","999","""Calculus I""","120","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10165","1.0","735","[""MATH""]","7","""0/999""","","[""Peder Bolstad""]","""0/999""","200","[""OM 003""]","999","""Principles of Math""","210","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0800-0930""]","""Research""","2004"
"10166","1.0","921","[""NORW""]","1","""0/999""","","[""Dorer Kari L.""]","""0/999""","100","[""RML 577""]","999","""Beginning Norwegian I""","111","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10167","1.0","922","[""NORW""]","0","""0/999""","","[""Dorer Kari L.""]","""0/999""","100","[""RML 577""]","999","""Begin Norwegian II""","112","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0800-0930""]","""Research""","2004"
"10168","1.0","926","[""NORW""]","7","""0/999""","","[""Dorer Kari L.""]","""0/999""","200","[""RML 577""]","999","""Intermed Norwegian I""","231","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10169","0.25","997","[""PEAC""]","6","""0/999""","","[""Le Ann K H. Finger""]","""0/999""","100","","999","""Golf""","103","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10170","0.5","1012","[""PEAC""]","1","""0/999""","","[""Christine Daymont""]","""0/999""","100","[""Tostrud Ctr""]","999","""Individual Fitness.50""","133","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0645-0745""]","""Research""","2004"
"10171","0.5","1016","[""PEAC""]","4","""0/999""","","[""Christine Daymont""]","""0/999""","100","[""Tostrud Ctr""]","999","""Wt Training Co-Ed .50""","140","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0645-0745""]","""Research""","2004"
"10172","1.0","1056","[""PETH""]","3","""0/999""","","[""Gary Wicks""]","""0/999""","200","[""RML 420""]","999","""Sports Ethics/Society""","290","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0800-0930""]","""Research""","2004"
"10173","1.0","1072","[""PHYS""]","12","""0/999""","1072","[""Matthew C. Feig""]","""0/999""","100","[""SC 129""]","999","""Principles Physics I""","124","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10174","0.0","1073","[""PHYS""]","12","""0/999""","1072","[""Matthew C. Feig""]","""0/999""","100","[""SC 111""]","999","""Principles Physics I""","124","false","4","""0/999""","""0/999""","""O""","20044","[""WTh 0100-0330PM""]","""Lab""","2004"
"10175","1.0","1104","[""PSCI""]","3","""0/999""","","[""D Christopher Brooks""]","""0/999""","100","[""RML 421""]","999","""Comparative Politics""","112","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10176","1.0","1105","[""PSCI""]","3","""0/999""","","[""William A. Gorton""]","""0/999""","100","[""RML 520""]","999","""Intro: Pol Theory""","113","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10177","1.0","1106","[""PSCI""]","4","""0/999""","","[""William A. Gorton""]","""0/999""","100","[""RML 520""]","999","""Current Contr/Us Pol""","114","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
