"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114433","1.0","197","[""CHEM""]","","197","","","[""Robert Hanson""]","200","[""RNS 310""]","""Organic Chemistry II""","248","false","""B""","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114434","1.0","197","[""CHEM""]","","197","","","[""Robert Hanson""]","200","[""RNS 310""]","""Organic Chemistry II""","248","false","""A""","3","""O""","20173","[""MWF 0800-0855""]","","""Research""","2017"
"114435","1.0","197","[""CHEM""]","","197","","","[""William P. Roberts""]","200","[""RNS 310"", ""RNS 310""]","""Organic Chemistry II""","248","false","""C""","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2017"
"114436","1.0","29407","[""ID""]","[""IST""]","","","","[""Sandra Morisette""]","200","[""YTT 050A""]","""Pathopharmacology""","210","false","","3","""O""","20173","[""MWF 1255-0150PM""]","","""Research""","2017"
"114441","0.25","812","[""MUSIC""]","","","","","[""David Hagedorn""]","100","[""CHM 138""]","""Percussion Techniques""","167","false","","3","""O""","20173","[""MWF 1255-0150PM""]","","""Research""","2017"
"114443","1.0","975","[""PHIL""]","[""IST"", ""WRI""]","","","","[""Arthur Cunningham""]","200","[""BMC 012""]","""Philosophy of Science""","244","false","""A""","3","""O""","20173","[""MWF 1045-1140""]","","""Research""","2017"
"114444","1.0","975","[""PHIL""]","[""IST"", ""WRI""]","","","","[""Arthur Cunningham""]","200","[""RNS 124""]","""Philosophy of Science""","244","false","""B""","3","""O""","20173","[""MWF 1150-1245PM""]","","""Research""","2017"
"114445","1.0","207","[""CHEM""]","[""IST""]","207","","","[""Jeffrey J. Schwinefus""]","300","[""RNS 208""]","""Physical Chemistry""","371","false","","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114446","0.25","206","[""CHEM""]","[""WRI""]","207","","","[""Jeffrey J. Schwinefus""]","300","[""RNS 392""]","""Physical Lab""","357","true","""A""","3","""O""","20173","[""T 1145-0345PM""]","""Physical Laboratory""","""Lab""","2017"
"114447","0.25","206","[""CHEM""]","[""WRI""]","207","","","[""Jeffrey J. Schwinefus""]","300","[""RNS 392""]","""Physical Lab""","357","true","""B""","3","""O""","20173","[""W 0100-0500PM""]","""Physical Laboratory""","""Lab""","2017"
"114459","0.25","808","[""MUSIC""]","","","","","[""Staff""]","100","[""TBA""]","""Piano Class II""","162","false","""A""","3","""O""","20173","[""MW 0905-1000""]","","""Research""","2017"
"114460","0.25","808","[""MUSIC""]","","","","","[""Christopher Atzinger""]","100","[""TBA""]","""Piano Class II""","162","false","""B""","3","""O""","20173","[""MW 1045-1140""]","","""Research""","2017"
"114464","0.25","18783","[""MUSIC""]","","","","","[""Linda Berger""]","200","[""CHM 222""]","""Piano Class IV""","262","false","""B""","3","""O""","20173","[""T 1145-1240PM"", ""Th 1245-0140PM""]","","""Research""","2017"
"114465","0.25","18783","[""MUSIC""]","","","","","[""Linda Berger""]","200","[""CHM 222""]","""Piano Class IV""","262","false","""A""","3","""O""","20173","[""T 0935-1030"", ""Th 0930-1025""]","","""Research""","2017"
"114468","1.0","134","[""BIO""]","","134","","","[""John Giannini""]","200","[""RNS 410""]","""Plant Physiology""","251","false","","3","""O""","20173","[""MWF 1255-0150PM""]","","""Research""","2017"
"114469","0.0","135","[""BIO""]","","134","","","[""John Giannini""]","200","[""RNS 455""]","""Plant Physiology Lab""","251","false","""A""","3","""O""","20173","[""T 0800-1100""]","","""Lab""","2017"
"114470","0.0","135","[""BIO""]","","134","","","[""John Giannini""]","200","[""RNS 455""]","""Plant Physiology Lab""","251","false","""B""","3","""O""","20173","[""T 0120-0420PM""]","","""Lab""","2017"
"114471","1.0","17594","[""PSYCH""]","[""WRI""]","","","","[""Donna K. McMillan""]","300","[""RNS 124"", ""RNS 124""]","""Positive Psychology""","342","false","","3","""O""","20173","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Positive Psychology: The Science of Optimal Human Experience""","""Research""","2017"
"114472","1.0","1051","[""ESTH""]","","1051","","","[""Staff""]","200","[""SAC 112""]","""Prevention & Care Athletic Injuries""","255","false","","3","""O""","20173","[""MWF 0905-1000""]","""Prevention and Care of Athletic Injuries""","""Research""","2017"
"114473","0.0","1052","[""ESTH""]","","1051","","","[""Staff""]","200","[""SAC Tr Rm""]","""Prevention/Care Athletic Injur Lab""","255","false","""A""","3","""O""","20173","[""W 1150-1245PM""]","","""Lab""","2017"
"114474","0.0","1052","[""ESTH""]","","1051","","","[""Staff""]","200","[""SAC Tr Rm""]","""Prevention/Care Athletic Injur Lab""","255","false","""B""","3","""O""","20173","[""W 1255-0150PM""]","","""Lab""","2017"
"114475","0.0","1052","[""ESTH""]","","1051","","","[""Staff""]","200","[""SAC Tr Rm""]","""Prevention/Care Athletic Injur Lab""","255","false","""C""","3","""O""","20173","[""W 1045-1140""]","","""Lab""","2017"
"114476","0.0","1075","[""PHYS""]","","1074","","","[""Prabal Adhikari""]","100","[""RNS 292""]","""Principles Physics II Lab""","125","false","""A""","3","""O""","20173","[""M 0100-0330PM""]","","""Lab""","2017"
"114477","0.0","1075","[""PHYS""]","","1074","","","[""Brian Borovsky""]","100","[""RNS 292""]","""Principles Physics II Lab""","125","false","""B""","3","""O""","20173","[""T 0830-1100""]","","""Lab""","2017"
"114478","0.0","1075","[""PHYS""]","","1074","","","[""Prabal Adhikari""]","100","[""RNS 292""]","""Principles Physics II Lab""","125","false","""C""","3","""O""","20173","[""T 1145-0215PM""]","","""Lab""","2017"
"114479","0.0","1075","[""PHYS""]","","1074","","","[""David Nitz""]","100","[""RNS 292""]","""Principles Physics II Lab""","125","false","""D""","3","""O""","20173","[""Th 0820-1050""]","","""Lab""","2017"
"114480","1.0","287","[""CSCI""]","[""AQR""]","","","","[""Staff""]","100","[""RNS 203""]","""Principles Comp Sci""","121","false","","3","""O""","20173","[""MWF 1045-1140""]","""Principles of Computer Science""","""Research""","2017"
"114481","1.0","768","[""MGMT""]","","","","","[""Jerry K. Lee""]","200","[""RNS 210"", ""RNS 210""]","""Principles of Acct""","225","false","""A""","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Principles of Accounting""","""Research""","2017"
"114482","1.0","768","[""MGMT""]","","","","","[""Jerry K. Lee""]","200","[""RNS 210"", ""RNS 210""]","""Principles of Acct""","225","false","""B""","3","""O""","20173","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Principles of Accounting""","""Research""","2017"
"114483","1.0","259","[""ECON""]","[""HBS""]","","","","[""Bruce Wambheim""]","100","[""RNS 150"", ""RNS 150""]","""Principles of Econ""","121","false","""A""","3","""O""","20173","[""T 0800-0925"", ""Th 0800-0920""]","""Principles of Economics""","""Research""","2017"
