"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"90",2698,1,1844,"['HIST']","","['Stephen Blake']",200,"['H 307']","British India",255,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,29
"91",2699,1,607,"['HIST']","","['Jeane DeLaney']",200,"","Revolutionary Cuba",257,"False","False","",2,"C",20012,"","Research",2001,23
"93",2701,1,625,"['HIST']","","['Richard A. Olson']",200,"","IS/Education Dev't",298,"False","False","",2,"O",20012,"","Research",2001,1
"94",2702,1,625,"['HIST']","","['Richard A. Olson']",200,"","IS/Early Middle East",298,"False","False","A",2,"O",20012,"","Research",2001,1
"95",2703,1,642,"['HIST']","","['Richard A. Olson']",300,"","IR/Ancient Marriage",398,"False","False","",2,"O",20012,"","Research",2001,1
"96",2704,1,642,"['HIST']","","['Richard A. Olson']",300,"","IR/Greek Warfare",398,"False","False","A",2,"O",20012,"","Research",2001,1
"97",2705,1,644,"['HSPST']","","['Christopher L. Chiappari']",200,"","IS/Maya of Guatemala",298,"False","False","",2,"O",20012,"","Research",2001,1
"98",2706,1,647,"['HSPST']","","['David Schodt']",300,"","IR/Soc Chng Latin Am",398,"False","False","",2,"O",20012,"","Research",2001,1
"99",2707,1,652,"['FAMST']","","['C. George Holt']",200,"","Aboriginal Cult/Austr",263,"False","False","",2,"C",20012,"","Research",2001,25
"100",2708,1,653,"['FAMST']","","['C. George Holt']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,3
"101",2709,1,673,"['IS']","","['Charles E. Umbanhowar Sr']",200,"['M 1']","Top: Politics & Scienc",202,"False","False","",2,"C",20012,"['M-Th 0100-0300PM']","Topic",2001,24
"102",2710,1,1918,"['ID']","","['John Walters']",200,"['SC 18', 'SC 18']","Computers in Health",251,"False","False","",2,"C",20012,"['M-F 1040-1230PM', 'M-F 0130-0330PM']","Research",2001,15
"103",2711,1,704,"['ID']","","['Theodore Johnson', 'Wesley Pearson']",200,"","Hospital Health Care",255,"True","False","",2,"C",20012,"","Research",2001,12
"104",2712,1,705,"['ID']","","['Karen E. Marsalek']",200,"","Theater in London",258,"False","False","",2,"C",20012,"","Research",2001,22
"105",2713,1,1923,"['ID']","","['Rosemary A. Pfarr-Baker']",200,"","Dimens Multicult/ACM",260,"False","False","",2,"C",20012,"","Research",2001,6
"106",2714,1,1926,"['ID']","","['Kristina MacPherson']",200,"","Dev & Comm /HECUA",263,"False","False","",2,"C",20012,"","Research",2001,1
"107",2715,1,735,"['MATH']","","['Martha Wallace']",200,"['SC 188', 'SC 188', 'SC 188']","Principles of Math",210,"False","False","",2,"C",20012,"['M-F 0800-1000', 'M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",2001,10
"108",2716,1,742,"['MATH']","","['Clifton Corzatt']",200,"","Struct of Higher Math",234,"False","False","",2,"C",20012,"","Research",2001,13
"109",2717,1,744,"['MATH']","","['Kay E. Smith']",200,"['SC 182', 'SC 182']","Number Theory",238,"False","False","",2,"O",20012,"['M-F 1045-1145', 'M-F 1245-0215PM']","Research",2001,11
"110",2718,1,1951,"['MATH']","","['Steven McKelvey']",200,"","Math Modeling/Biosph",290,"False","False","",2,"C",20012,"","Research",2001,14
"111",2719,1,758,"['MATH']","","['Judith Cederberg']",300,"['SC 184', 'SC 184', 'SC 184']","Geometry",356,"False","False","",2,"C",20012,"['M-F 0830-1000', 'M-F 1030-1200PM', 'M-F 0100-0300PM']","Research",2001,22
"112",2720,1,765,"['MATH']","","['Julie M. Legler', 'Matthew Richey']",300,"['SC 130', 'SC 130']","Mathematics Practicum",390,"False","False","",2,"O",20012,"['M-F 0800-1000', 'M-F 1040-1240PM']","Research",2001,13
"113",2721,1,769,"['MGMT']","","['Kathy C. Thomforde']",200,"['H 413']","Arts Management",229,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,24
"114",2722,1,770,"['MGMT']","","['Richard Goedde']",200,"['H 301', 'H 205']","Computer Applications",230,"False","False","",2,"C",20012,"['MWF 1040-1140', 'MWF 0100-0300PM']","Research",2001,22
"115",2723,1,772,"['MGMT']","","['John O. Hanson']",200,"['CH 110', 'CH 110']","Technol & Entr Spirit",232,"False","False","",2,"C",20012,"['M-F 0900-1000', 'M-F 1040-1140']","Research",2001,25
"116",2724,1,784,"['MGMT']","","['Mary Ann Emery']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,3
"117",2725,1,788,"['MGMT']","","['Richard Goedde']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"118",2726,1,789,"['MGMT']","","['Richard Goedde']",300,"","IR/Equity Analysis",398,"False","False","",2,"O",20012,"","Research",2001,1
"119",2727,1,795,"['MEDIA']","","['William Sonnega']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,1
"120",2728,1,803,"['MUSIC']","","['Linda Berger']",100,"['CHM 222', 'CHM 224', 'L 477']","The Music Spectrum",130,"False","False","",2,"C",20012,"['M-F 1040-1130', 'MWF 1140-1240PM', 'TTh 1140-1240PM']","Research",2001,22
