"","clbid","credits","crsid","departments","gereqs","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"303",7905,1,453,"['ENVST']","",NA,"['Mark Allister']",100,"['RML 515', 'RML 515']","Culture of Nature","",101,"False","False","",1,"C",20041,"['T 0800-0925', 'Th 0800-0930']","Research",2004,24
"304",7906,1,454,"['ENVST']","",NA,"['Jason D. Hill']",100,"['SC 274']","Conservation Biology","",125,"False","False","",1,"C",20041,"['MW 0100-0300PM']","Research",2004,26
"305",7907,1,455,"['ENVST']","",NA,"['Robert Jacobel']",100,"['SC 129', 'SC 129']","Intro: Env Studies","",137,"False","False","A",1,"C",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,23
"306",7908,1,455,"['ENVST']","",NA,"['Eugene Bakko']",100,"['SC 129', 'SC 129']","Intro: Env Studies","",137,"False","False","B",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,25
"307",7909,1,458,"['ENVST']","",NA,"['Sheryl D. Breen']",200,"['SC 129', 'SC 129']","Env Political Theory","",225,"False","False","",1,"O",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,21
"308",7910,1,459,"['ENVST']","",NA,"['Rebecca Judge']",200,"['HH 515']","Env Policy/Regulation","",232,"False","False","",1,"O",20041,"['MWF 0200-0255PM']","Research",2004,10
"309",7911,1,461,"['ENVST']","",NA,"['Brian C. Welch']",200,"['RML 477', 'RML 477']","Remote Sensing & Gis","",255,"False","False","",1,"O",20041,"['MWF 1045-1140', 'W 0120-0320PM']","Research",2004,7
"310",7912,1,463,"['ENVST']","",NA,"['Matthew Rohn']",200,"['DC 305']","Nature & Am Landscape","",270,"False","False","",1,"C",20041,"['MWF 0905-1000']","Research",2004,25
"311",7913,1,464,"['ENVST']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20041,"","Research",2004,0
"312",7914,1,465,"['ENVST']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",1,"O",20041,"","Research",2004,0
"313",7915,1,466,"['ENVST']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20041,"","Research",2004,0
