"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"72",5710,1,136,"['BIO']",NA,"['Jason D. Hill']",200,"['SC 274', 'SC 274', 'SC 227']","Plant Morphology",252,"False","False","",1,"O",20031,"['T 0800-0925', 'Th 0800-0920', 'T 0120-0420PM']","Research",2003,7
"73",5711,1,139,"['BIO']",NA,"['Diane K. Angell']",200,"['HH 501', 'SC 248']","Ecological Principles",261,"False","False","A",1,"C",20031,"['MWF 0800-0855', 'M 1255-0355PM']","Research",2003,17
"74",5712,1,139,"['BIO']",NA,"['Diane K. Angell']",200,"['HH 501', 'SC 248']","Ecological Principles",261,"False","False","B",1,"C",20031,"['MWF 0800-0855', 'W 1255-0355PM']","Research",2003,14
"75",5713,1,139,"['BIO']",NA,"['Diane K. Angell']",200,"['HH 501', 'SC 248']","Ecological Principles",261,"False","False","C",1,"O",20031,"['MWF 0800-0855', 'Th 0800-1100']","Research",2003,17
"76",5714,1,144,"['BIO']",NA,"['Staff']",200,"","IS in India",271,"False","False","",1,"O",20031,"","Research",2003,5
"77",5715,1,145,"['BIO']",NA,"['Staff']",200,"","IS in India",272,"False","False","",1,"O",20031,"","Research",2003,5
"78",5716,1,154,"['BIO']",NA,"['Louis Henry Kermott']",200,"","IS/Human Gross Anat",298,"False","False","",1,"O",20031,"","Research",2003,4
"79",5717,1,154,"['BIO']",NA,"['Eric Cole']",200,"","IS/Develop Genetics",298,"False","False","A",1,"O",20031,"","Research",2003,1
"80",5718,1,154,"['BIO']",NA,"['William Jurney']",200,"","IS/Human Gross Anat",298,"False","False","B",1,"O",20031,"","Research",2003,4
"81",5719,1,158,"['BIO']",NA,"['Anne Walter']",300,"['SC 274', 'SC 263']","Cell Physiology",341,"False","False","B",1,"O",20031,"['MWF 0905-1000', 'W 0120-0420PM']","Research",2003,7
"82",5720,1,161,"['BIO']",NA,"['Kathleen L. Shea']",300,"['SC 110', 'SC 248', 'SC 210']","Field Ecology",371,"False","False","",1,"C",20031,"['T 0120-0220PM', 'T 0230-0530PM', 'Th 0215-0405PM']","Research",2003,13
"83",5721,1,166,"['BIO']",NA,"['Theodore Johnson']",300,"['SC 274', 'SC 210']","Immunology",382,"False","False","A",1,"C",20031,"['MWF 1045-1140', 'T 0100-0300PM']","Research",2003,16
"84",5722,1,166,"['BIO']",NA,"['Theodore Johnson']",300,"['SC 274', 'SC 210']","Immunology",382,"False","False","B",1,"C",20031,"['MWF 1045-1140', 'W 0200-0400PM']","Research",2003,15
"85",5723,1,175,"['BIO']",NA,"['Louis Henry Kermott']",300,"","IR/Wren Habitat Range",398,"False","False","",1,"O",20031,"","Research",2003,1
"86",5724,1,175,"['BIO']",NA,"['Kimberly A. Kandl']",300,"","IR/Ef1a in Yeast",398,"False","False","A",1,"O",20031,"","Research",2003,1
"87",5725,1,175,"['BIO']",NA,"['Kathleen L. Shea']",300,"","IR/Conifer Growth",398,"False","False","B",1,"O",20031,"","Research",2003,1
"88",5726,1,175,"['BIO']",NA,"['Eugene Bakko', 'Kathleen L. Shea']",300,"","IR/Sustainable Ag",398,"False","False","C",1,"O",20031,"","Research",2003,1
"89",5727,1,175,"['BIO']",NA,"['Mary C. Henry']",300,"","IR/Animal Studies",398,"False","False","D",1,"O",20031,"","Research",2003,1
"90",5728,1,175,"['BIO']",NA,"['Kathleen L. Shea']",300,"","IR/Dendrochronology",398,"False","False","E",1,"O",20031,"","Research",2003,1
"91",5729,1,176,"['AMCON']",NA,"['Matthew Rohn']",100,"['STEENSLAND']","Freedoms: 1620-1865",101,"False","False","A",1,"C",20031,"['MWF 1255-0150PM']","Research",2003,20
"92",5730,1,176,"['AMCON']",NA,"['Steven C. Hahn']",100,"['STEENSLAND']","Freedoms: 1620-1865",101,"False","False","B",1,"C",20031,"['MWF 1255-0150PM']","Research",2003,21
"93",5731,1,178,"['AMCON']",NA,"['James Farrell']",200,"['HH 317']","Remaking Am: 1845-1945",201,"False","False","A",1,"C",20031,"['MWF 0200-0255PM']","Research",2003,19
"94",5732,1,178,"['AMCON']",NA,"['L. DeAne Lagerquist']",200,"['HH 302']","Remaking Am: 1845-1945",201,"False","False","B",1,"C",20031,"['MWF 0200-0255PM']","Research",2003,18
"95",5733,1,187,"['CHEM']",NA,"['Paul T. Jackson']",100,"['SC 282']","General Chemistry",121,"False","False","",1,"O",20031,"['MWF 1045-1140']","Research",2003,71
"99",5737,1,192,"['CHEM']",NA,"['Wesley Pearson']",100,"['SC 378']","Struct Chem & Equilib",125,"False","False","A",1,"O",20031,"['MWF 0800-0855']","Research",2003,43
"101",5739,1,192,"['CHEM']",NA,"['Patrick N. Riley']",100,"['SC 378']","Struct Chem & Equilib",125,"False","False","B",1,"O",20031,"['MWF 0905-1000']","Research",2003,51
"103",5741,1,192,"['CHEM']",NA,"['Beth Abdella']",100,"['SC 378']","Struct Chem & Equilib",125,"False","False","C",1,"O",20031,"['MWF 1045-1140']","Research",2003,48
"105",5743,1,192,"['CHEM']",NA,"['Gary Miessler']",100,"['SC 378']","Struct Chem & Equilib",125,"False","False","D",1,"O",20031,"['MWF 1150-1245PM']","Research",2003,46
"111",5749,1,196,"['CHEM']",NA,"['Gary O. Spessard']",200,"['SC 282']","Organic Chemistry",247,"False","False","A",1,"O",20031,"['MWF 0800-0855']","Research",2003,56
"112",5750,1,196,"['CHEM']",NA,"['Robert Hanson']",200,"['SC 282']","Organic Chemistry",247,"False","False","B",1,"O",20031,"['MWF 0905-1000']","Research",2003,53
"119",5757,1,201,"['CHEM']",NA,"['Mary Walczak']",200,"['SC 282', 'SC 282']","Analytical Chem",255,"False","False","",1,"C",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,17
